,designation,company_name,location,estab_year,employees_count,job_description,skills,hr_name,experience_req,employee_reviews
0,Business Systems Analyst (Drive),Google,Hyderabad,Founded in 1998,More than 1000 employees,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Finance
Marketing
Microsoft Excel
Product Management
Sales
UI Testing
UX Design","Aneesh Vikram
Recruiting Specialist
at Google",5-9 Years,4.1
1,Technical Writer (Drive),Hugosave,Hyderabad,Founded in 2019,10 - 50 employees,Function: IT Operations and Support → Technical Writing,"Postman
Swagger
Technical Writing","Neha Khaitan
Talent Acquisition Specialist
at Hugosave",7-10 Years,
2,AEM Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Other Software Development,Adobe Experience Manager (AEM),"Akshata
Recruiter
at LTIMindtree",3-6 Years,4
3,Azure Databricks Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Databricks
Hadoop
Spark
ETL
PySpark
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
4,Big Data - Java Spark Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Amazon Redshift
Big Data
Data Analysis
Data Warehousing
ETL
Java
Spark","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
5,GCP Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"BigQuery
Google Cloud
Python
Dataflow","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
6,Informatica IICS Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Informatica
Informatica PowerCenter","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
7,Oracle - UFT Testing (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"Automation Testing
QTP","Akshata
Recruiter
at LTIMindtree",3-5 Years,4
8,PL / SQL Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: IT Operations and Support → Database Admin / Development,"Oracle RAC
PL-SQL","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
9,Snowflake Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Data Warehousing
ETL
SQL
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
10,Associate Sales (Mumbai) (Drive),Dunzo,Mumbai,Founded in 2014,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Field Work
Lead Generation
Sales","Shreya Shandilya
Recruiter
at Dunzo",1-2 Years,3.6
11,Sales / Senior Sales Associate (Drive),Ivy Homes,Bangalore,Founded in 2021,0 - 10 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales","Pritam Thakur
Co-Founder
at Ivy Homes",1-5 Years,
12,.NET Azure Fullstack Developer (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → Backend Development,".NET
ASP.NET
Angular
Azure
Bootstrap
C#
CSS
HTML","Akshata
Recruiter
at LTIMindtree",3-6 Years,4
13,Automation Testing (Drive),LTIMindtree,Bangalore,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"API Testing
Appium
Cucumber
JMeter
Java
Mobile Apps Testing
Performance Testing
Python
Ruby
SDET
Selenium
SoapUI","Akshata
Recruiter
at LTIMindtree",5-6 Years,4
14,Azure DevOps (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: IT Operations and Support → DevOps / Cloud,"Ansible
Azure
Azure DevOps Server
CI - CD
DevOps
Kafka","Akshata
Recruiter
at LTIMindtree",4-6 Years,4
15,React.js Developer (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → Frontend Development,"CSS
HTML
JavaScript
React.js
jQuery","Akshata
Recruiter
at LTIMindtree",3-6 Years,4
16,Regional Supply Head (Drive),Treebo,"Kolkata, Mumbai",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Profit and Loss Management
Strategic Planning","Advita Karkera
Talent Acquisition Executive
at Treebo",5-8 Years,3.4
17,"Territory Sales Manager (Bangalore, Gurgaon, Mumbai) (Drive)",Treebo,"Bangalore, Gurgaon, Mumbai",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Corporate Sales
Direct Sales
Sales","Advita Karkera
Talent Acquisition Executive
at Treebo",2-6 Years,3.4
18,"Territory Sales Manager (Gujarat, Chandigarh, Indore) (Drive)",Treebo,"Chandigarh, Gandhinagar, Indore",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Corporate Sales
Direct Sales
Sales","Advita Karkera
Talent Acquisition Executive
at Treebo",2-6 Years,3.4
19,"Territory Sales Manager (Jamshedpur, Kolkata, Ranchi) (Drive)",Treebo,"Jamshedpur, Kolkata, Ranchi",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
Sales","Advita Karkera
Talent Acquisition Executive
at Treebo",2-6 Years,3.4
20,C / C++ Development (Drive),Applied Materials,Bangalore,Founded in 1967,More than 1000 employees,Function: Software Engineering → Backend Development,"Algorithms
C
C++
Computer Vision
Data Structures
Devicenet
Hardware
Image Processing
Industrial Automation
Microarrays
Modbus
Python
RS232
Visual Studio","Pallavi Choudhary
Talent Acquisition Specialist
at Applied Materials",4-8 Years,4
21,Software Technologist (Drive),Applied Materials,"Bangalore, Chennai",Founded in 1967,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"C#
C++
Java
Linux
Oracle Access Manager
Oracle Database
PostgreSQL
PowerShell
Python
Shell Scripting
Windows","Pallavi Choudhary
Talent Acquisition Specialist
at Applied Materials",3-7 Years,4
22,Enterprise - Sales Manager (Drive),Dunzo,"Bangalore, Delhi, Mumbai",Founded in 2014,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"CRM
Corporate Sales
HLOOKUP
Jira
Key Account Management
Sales","Sindhu Muttiravala
Talent Acquisition Associate
at Dunzo",2-4 Years,3.6
23,Senior Software Engineer - Database (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: IT Operations and Support → Database Admin / Development,"Database Administration
Database Development
Distributed Systems
jQuery","Hari Hara Eshwaran S
Recruiter
at Google",6-10 Years,4.1
24,Senior Software Engineer - Full Stack (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"API Testing
Angular
Database Development
Distributed Systems
Java
NoSQL
RDBMS
React.js
TypeScript","Hari Hara Eshwaran S
Recruiter
at Google",6-10 Years,4.1
25,Associate / Sr. Associate - Inside Sales (Drive),MediBuddy,Bangalore,Founded in 2013,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Key Account Management
Lead Generation
LinkedIn Sales Navigator","Sadhana
Senior Associate
at MediBuddy",1-5 Years,3.2
26,Associate - Sales Representative / Inside Sales (Drive),O4S,Gurgaon,Founded in 2016,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Key Account Management
Lead Generation
LinkedIn Sales Navigator","Krishibha Sharma
TA Associate
at O4S",1-5 Years,4.3
27,Senior Content Marketer - B2C (Drive),Refyne,Bangalore,Founded in 2020,10 - 50 employees,Function: Marketing → Content Writing,"Content Marketing
Content Writing
SEO
Social Media Marketing","Swati Kapur
Senior Talent Acquisition
at Refyne",4-7 Years,5
28,Product Support Engineer / Customer Support (Drive),Richpanel,Work From Home,Founded in 2018,10 - 50 employees,Function: Sales and Business → Customer Service,"Customer Service
Desktop Troubleshooting
L2 Support","Ayushi Aeran
Talent Acquisition-HR
at Richpanel",3-7 Years,4.7
29,Senior Full - Stack Developer (Drive),Truminds Software Systems,"Bangalore, Gurgaon, Hyderabad",Founded in 2017,200 - 500 employees,Function: Software Engineering → Full-Stack Development,"Angular
Java
JavaScript
Node.js
React.js
Spring
jQuery","Priyansha Arora Sheher
Senior Executive Talent Acquisition
at Truminds Software Systems",4-6 Years,4.1
30,Senior Software Engineer (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: Software Engineering → Backend Development,"C#
C++
Golang
Java
JavaScript
Linux
Python
Unix","Shraddha Gupta Sheher
Technical Recruiter
at Google",7-11 Years,4.1
31,Senior Software Engineer - Big Data (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Cloud Computing
Hadoop
Hive
Java
Jupyter
Spark","Hari Hara Eshwaran S
Recruiter
at Google",6-10 Years,4.1
32,Senior Software Engineer - Networking (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"C
C++
Networking","Hari Hara Eshwaran S
Recruiter
at Google",6-10 Years,4.1
33,SEO Specialist (Drive),Jalan Technologies,Work From Home,Founded in 2016,10 - 50 employees,Function: Marketing → SEO / SEM,"Google Ads
SEM
SEO","Sneha Suresh
Talent Acquisition Specialist
at Jalan Technologies",2-5 Years,4.4
34,Social Media Marketer (Drive),Jalan Technologies,Work From Home,Founded in 2016,10 - 50 employees,Function: Marketing → Online Marketing,"Brand Management
Content Marketing
Facebook Marketing
KPI
LinkedIn Marketing
Social Media Marketing","Sneha Suresh
Talent Acquisition Specialist
at Jalan Technologies",2-5 Years,4.4
35,TA Specialist (Drive),Jalan Technologies,Work From Home,Founded in 2016,10 - 50 employees,Function: Human Resources → Talent Acquisition,"IT Recruitment
Non IT Recruitment
Recruitment","Sneha Suresh
Talent Acquisition Specialist
at Jalan Technologies",2-4 Years,4.4
36,Anaplan Analyst / Manager (Drive),RingCentral,Bangalore,Founded in 2003,More than 1000 employees,Function: Operations → Accounting / Finance,"Anaplan
Architecture
FPA
Finance
L1 Support
L2 Support
SQL
Solution Architecture
Stakeholder Management","Pallavi Padhy
Talent Acquisition Specialist
at RingCentral",4-8 Years,4.6
37,Manager - Accounting (Drive),RingCentral,Bangalore,Founded in 2003,More than 1000 employees,Function: Operations → Accounting / Finance,"Accounting
CPA
ERPS
Finance
Financial Reporting
NetSuite
Payroll Management","Pallavi Padhy
Talent Acquisition Specialist
at RingCentral",10-14 Years,4.6
38,Content Writer (Drive),Zoomcar,Bangalore,Founded in 2012,200 - 500 employees,Function: Marketing → Content Writing,"Content Marketing
Content Writing
English Content","Bharath Br
Recruiter
at Zoomcar",3-6 Years,3.4
39,Deputy Manager - Performance Marketing (Drive),Zoomcar,Bangalore,Founded in 2012,200 - 500 employees,Function: Marketing → SEO / SEM,"Performance Marketing
SEM
SEO
Social Media Marketing","Bharath Br
Recruiter
at Zoomcar",2-6 Years,3.4
40,Engineering Manager (Drive),Crayon Data,Chennai,Founded in 2012,50 - 200 employees,Function: Technical Management → Engineering Management,".NET
Algorithms
Architecture
Data Structures
HTTP
Java
Node.js
Spring Boot","Meenakshi Priyadharshini
Senior Talent Acquisition Partner
at Crayon Data",9-12 Years,4.1
41,Software Development Engineer (Drive),Head Digital Works,Hyderabad,Founded in 2005,200 - 500 employees,Function: Software Engineering → Backend Development,"Apache Beam
Java
JavaScript
Linux
NoSQL
React.js
Spring
Spring Boot
Tomcat
jQuery","Sughra Ali Zaidi
Recruiter
at Head Digital Works",4-8 Years,4.1
42,Business Development (Lending) (Drive),Jupiter,Bangalore,Founded in 2019,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Corporate Banking
Corporate Loans
Corporate Sales
Corporate Strategy
Key Account Management
Marketing
Microsoft Office
Partnerships
Product Marketing
Retail Banking
Retail Loans
Retail Marketing
Sales
Stakeholder Management
Strategic Planning","Lalitha Gangadhara
Talent Acquisition Lead
at Jupiter",4-6 Years,4.4
43,Customer Support Executive - KYC Specialist (Drive),Refyne,Bangalore,Founded in 2020,10 - 50 employees,Function: Sales and Business → Customer Service,"Customer Service
KYC","Swati Kapur
Senior Talent Acquisition
at Refyne",0-1 Years,5
44,Product Manager - Digital Lending (Drive),ShopSe,Mumbai,Founded in 2019,50 - 200 employees,Function: Technical Management → Product Management,"Mapping
NBFC
Product Lifecycle Management
Product Management","Ajay Kumar
Manager - Talent Acquisition
at ShopSe",4-7 Years,
45,Assistant Manager - B2C Inside Sales (Drive),Univariety,Hyderabad,Founded in 2011,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
International Sales
Sales
Telecalling","Sunitha Mudiraj
HR Manager
at Univariety",1-5 Years,3.6
46,Key Account Manager / Senior Key Account Manager (Drive),Univariety,Hyderabad,Founded in 2011,50 - 200 employees,Function: Sales and Business → Customer Service,"Corporate Strategy
Customer Relationship
Customer Service
Key Account Management
Retention Management
Stakeholder Management
Strategic Planning","Sunitha Mudiraj
HR Manager
at Univariety",4-8 Years,3.6
47,Manager - Institutional / B2B Sales (Drive),Univariety,Hyderabad,Founded in 2011,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Corporate Sales
Direct Sales
International Sales
Sales","Sunitha Mudiraj
HR Manager
at Univariety",2-6 Years,3.6
48,Enterprise Sales Outbound (Drive),Whatfix,"Bangalore, Gurgaon",Founded in 2013,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
International Sales
Key Account Management
LinkedIn Sales Navigator","Sowmya Shivarama
Talent Acquisition Specialist
at Whatfix",6-10 Years,4.1
49,"Manager / Senior Manager / AD, Strategic Accounts (Drive)",Whatfix,"Bangalore, Gurgaon",Founded in 2013,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Farming
International Sales
Key Account Management","Sowmya Shivarama
Talent Acquisition Specialist
at Whatfix",6-10 Years,4.1
50,Sales Executive - General Trade (Drive),Cargill,Kochi,Founded in 1900,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Distribution
Lead Generation
Sales","Aakanshu Gupta
Engineering Manager
at Cargill",3-7 Years,4
51,Sales Executive - General Trade (Drive),Cargill,"Anantapur, Hyderabad, Kurnool",Founded in 1900,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Distribution
Lead Generation
Sales","Aakanshu Gupta
Engineering Manager
at Cargill",3-7 Years,4
52,Sales Executive - Modern Trade (Drive),Cargill,"Chennai, Hyderabad, Vijayawada",Founded in 1900,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Distribution
Lead Generation
Sales","Aakanshu Gupta
Engineering Manager
at Cargill",3-7 Years,4
53,Senior Financial Accountant (Drive),EagleView,Work From Home,Founded in 2008,0 - 10 employees,Function: Operations → Accounting / Finance,"Accounting
Auditing
Chartered Accountant
Direct Taxation
Financial Analysis
GST
Income Tax
Indirect Taxation
NetSuite
SEZ
STPI
TDS
Taxation","Laks
Talent Acquisition - Sr. Manager
at EagleView",3-6 Years,3.5
54,Event Manager (Drive),GoKwik,Work From Home,Founded in 2020,50 - 200 employees,Function: Marketing → Event Management,"Corporate Events
Cultural Events
Event Management
Event Marketing
Event Planning","Chandrima Sarma
HR Associate
at GoKwik",5-9 Years,4.5
55,Finance Manager (Drive),GoKwik,Work From Home,Founded in 2020,50 - 200 employees,Function: Operations → Accounting / Finance,"Accounting
Auditing
Finance
GST
Income Tax
MIS
Sales Tax
TDS
Taxation","Chandrima Sarma
HR Associate
at GoKwik",5-9 Years,4.5
56,Senior Sales Manager (Drive),GoKwik,Work From Home,Founded in 2020,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Key Account Management
Sales","Chandrima Sarma
HR Associate
at GoKwik",5-9 Years,4.5
57,ASW Cloud Security Manager (Drive),HDFC Life,"Bangalore, Mumbai",Founded in 2000,More than 1000 employees,Function: IT Operations and Support → DevOps / Cloud,"AWS
CI - CD
Cloud Computing
DevOps
Linux","Hr
Recruiter
at HDFC Life",5-6 Years,
58,Business Development Associate (Drive),Thence,Work From Home,Founded in 2012,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Key Account Management
Lead Generation
Telecalling","Raji L
Recruiter
at Thence",3-7 Years,4.1
59,Business Development Associate (US Shift) (Drive),Thence,Work From Home,Founded in 2012,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
International Sales
Key Account Management
LinkedIn Sales Navigator
Telecalling","Raji L
Recruiter
at Thence",3-7 Years,4.1
60,Sales Executive - General Trade (Drive),Cargill,"Chennai, Coimbatore, Mysuru",Founded in 1900,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Distribution
Lead Generation
Sales","Aakanshu Gupta
Engineering Manager
at Cargill",3-7 Years,4
61,Business Analyst (Drive),HDFC Life,Bangalore,Founded in 2000,More than 1000 employees,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Business Analysis
Documentation
Microsoft Excel
Power BI
R
SQL
Tableau","Hr
Recruiter
at HDFC Life",3-6 Years,
62,Business Development Executives (Drive),Tranzact,Mumbai,Founded in 2017,10 - 50 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Direct Sales
Key Account Management
Sales","Mukti Shetty
Talent Acquisition Manager
at Tranzact",2-4 Years,3.8
63,Customer Delight (Drive),Tranzact,Mumbai,Founded in 2017,10 - 50 employees,Function: Sales and Business → Customer Service,"Customer Interaction
Customer Service
Freshdesk
Microsoft Excel
Zendesk","Mukti Shetty
Talent Acquisition Manager
at Tranzact",2-5 Years,3.8
64,Customer Success Manager (Drive),Tranzact,Mumbai,Founded in 2017,10 - 50 employees,Function: Sales and Business → Customer Service,"Customer Interaction
Customer Relationship
Escalation Management
Google Data Studio
Microsoft Excel
SQL","Mukti Shetty
Talent Acquisition Manager
at Tranzact",2-5 Years,3.8
65,Admission Counsellor Study Abroad (Drive),upGrad,"Bangalore, Hyderabad, Noida",Founded in 2015,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Sales","Abhishek Singh Bhadoria
Sr. Asso- Talent Acquisition
at upGrad",1-4 Years,3.8
66,Key Account Manager (Drive),upGrad,Mumbai,Founded in 2015,50 - 200 employees,Function: Sales and Business → Sales / Business Development,"Channel Sales
Corporate Sales
Direct Sales
Key Account Management
Sales","Abhishek Singh Bhadoria
Sr. Asso- Talent Acquisition
at upGrad",2-3 Years,3.8
67,Office Operations (Drive),Zenda,"Bangalore, Delhi",Founded in 2021,10 - 50 employees,Function: Human Resources → HR Generalist,"Back Office Operations
Bill Processing
Employee Induction
Google Workspace
Human Capital Management
Inventory Management
Microsoft Excel
Office Operations
Policy Formulation
Procurement
Vendor Management","Meenal Sharma
Senior TA Specialist
at Zenda",2-5 Years,5
68,Territory Sales Manager (Drive),Zenda,"Delhi, Lucknow",Founded in 2021,10 - 50 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Direct Sales
Sales","Meenal Sharma
Senior TA Specialist
at Zenda",3-7 Years,5
69,Territory Sales Manager (Drive),Zenda,"Mumbai, Pune",Founded in 2021,10 - 50 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Direct Sales
Sales","Meenal Sharma
Senior TA Specialist
at Zenda",3-7 Years,5
70,Principal Software Engineer,Advanced Business and Healthcare India,Bangalore,Founded in 2010,More than 1000 employees,"Function: Software Engineering → Backend Development, Engineering Management, Solution Architecture / Presales","Java
Microservices
Spring Boot
Architecture
AWS","Divya Sharma
Recruitment Manager
at HireTale",9-14 Years,3.6
71,DevOps Engineer,Arintra,Bangalore,Founded in 2020,10 - 50 employees,Function: IT Operations and Support → DevOps / Cloud,"CI - CD
Jenkins
AWS
Python
Java","Ramya Tanya
AssociateTechnicalAcquisition
at Zyoin",5-8 Years,
72,Backend Developer,DeNovo Systems,Chennai,Founded in 2014,10 - 50 employees,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","AWS
MySQL
API Testing
MongoDB
Spring Boot","Nirosha Yalawar
HR Recruiter
at Polar HR Services",3-5 Years,4.5
73,SRE - TKG,GlobalLogic,Bangalore,Founded in 2000,More than 1000 employees,Function: Technical Management → Engineering Management,Kubernetes,"Priyanka Paul
Talent Acquisition Specialist
at Karya Consultants",3-8 Years,4.1
74,Senior Software Developer - C++,InBetween,Work From Home,Founded in 1992,10 - 50 employees,Function: Software Engineering → Backend Development,"C++
InDesign","Vipin Dhaker
Growth manager
at PloPdo",3-7 Years,3.2
75,Tech Lead - C++,InBetween,Work From Home,Founded in 1992,10 - 50 employees,Function: Software Engineering → Backend Development,"C++
InDesign","Vipin Dhaker
Growth manager
at PloPdo",5-10 Years,3.2
76,Training Manager (Drive),OneCode.in,Bangalore,Founded in 2019,50 - 200 employees,Function: Design and Creative → Other Design,Instructional Design,"Rinsy Backer
Head - People Practice
at OneCode.in",6-10 Years,4.9
77,Lead Developer,Swimlane,Hyderabad,Founded in 2014,200 - 500 employees,Function: Software Engineering → Backend Development,"Python
Django
Flask","Ramya Tanya
AssociateTechnicalAcquisition
at Zyoin",8-12 Years,
78,SSE,Swimlane,Hyderabad,Founded in 2014,200 - 500 employees,Function: Software Engineering → Backend Development,"Python
Django
Flask","Ramya Tanya
AssociateTechnicalAcquisition
at Zyoin",4-8 Years,
79,Hadoop Administrator,Verizon Communications,Bangalore,Founded in 1983,More than 1000 employees,"Function: IT Operations and Support → DevOps / Cloud, Technical / Production Support","Hadoop
Jenkins
Kafka
Spark
Unix","Asha L
TA Manager
at Wenger & Watson",2-7 Years,3.8
80,UI Developer,ARi,Chennai,Founded in 2006,More than 1000 employees,Function: Software Engineering → Frontend Development,"Angular
HTML
CSS
JavaScript","Archana Tr
Recruiter
at Wenger & Watson",4-6 Years,
81,.NET Core Developer,Baygrape Technology Solutions,Bangalore,Founded in 2016,10 - 50 employees,Function: Software Engineering → Backend Development,".NET
LINQ
Git","Deval Talati Shah
HR
at CornerTree Consulting",4-9 Years,
82,Product Manager,ElectricPe,Bangalore,Founded in 2021,10 - 50 employees,"Function: Technical Management → Product Management, Project Management","Product Management
Project Management
Enterprise Software
Consumer Software
PMP","Manish Nirwal
Talent Aquisition
at Hire Steezy",5-10 Years,4.6
83,Data Scientist,Mashreq Bank,Bangalore,Founded in 1967,More than 1000 employees,Function: Data Science and Analysis → Data Science / Machine Learning,"Machine Learning
NLP
Python
Data Analysis
SQL","Chetan Kumar Marturkar
Talent Acquisition
at Shortlist Professionals",5-9 Years,3.7
84,Backend Developer - Java,Mensa Brands,Bangalore,Founded in 2017,10 - 50 employees,Function: Software Engineering → Backend Development,"Java
SQL
Data Structures
NoSQL
Microservices","Manjit Kaur
Senior Recruiter
at Risah Careers",2-5 Years,
85,Regional Sales Manager,Mensa Brands,Bangalore,Founded in 2017,10 - 50 employees,Function: Sales and Business → Sales / Business Development,"Sales
Business Development","Manjit Kaur
Senior Recruiter
at Risah Careers",8-13 Years,
86,Senior Data Scientist,Swimlane,Hyderabad,Founded in 2014,200 - 500 employees,Function: Data Science and Analysis → Data Science / Machine Learning,"Python
Machine Learning
AWS
NLP
Data Analysis","Lavanya R
Principal Talent Acquisition
at Zyoin",10-12 Years,
87,Machine Learning Engineer,Verizon Communications,Bangalore,Founded in 1983,More than 1000 employees,Function: Data Science and Analysis → Data Science / Machine Learning,"Machine Learning
Google Cloud
BigQuery
Python
MLOps","Ipshita Samantroy
Talent Acquisition Specialist
at Wenger & Watson",3-5 Years,3.8
88,Data Analyst,WeRize,Bangalore,Founded in 2019,50 - 200 employees,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Python
SQL","Nisha Sharma
Recruiter
at Paddlelift",1-4 Years,4
89,SSE / FE,Zepto,Bangalore,Founded in 2021,More than 1000 employees,Function: Software Engineering → Frontend Development,"JavaScript
React Native
React.js","Ramya Tanya
AssociateTechnicalAcquisition
at Zyoin",2-7 Years,3.7
90,Senior Sales Executive / Sales Manager,ADOS Interiors,Bangalore,Founded in 2014,10 - 50 employees,"Function: Sales and Business → Customer Service, Sales / Business Development","Sales
Business Development
Direct Sales
Customer Interaction
Customer Service","Suranjan Barman
Recruiter
at Suyojett",3-8 Years,
91,.NET Developer,AHAsolar,Ahmedabad,Founded in 2017,10 - 50 employees,"Function: Software Engineering → Backend Development, Frontend Development, Mobile Development",".NET
ASP.NET
C#
SQL Server","Kanchan Pawar
Sr. Manager
at Apex One Team",2-5 Years,
92,Dot .NET Developer,Asentech,Work From Home,Founded in 2007,50 - 200 employees,"Function: Software Engineering → Backend Development, Full-Stack Development",".NET
SQL Server
jQuery
C#
Agile","Jai Singh
Recruiter
at PurpleTech",5-7 Years,4.2
93,Wordpress Developer - Lead,Asentech,Work From Home,Founded in 2007,50 - 200 employees,"Function: Software Engineering → Backend Development, Full-Stack Development","PHP
Wordpress
HTML
jQuery
Jira","Jai Singh
Recruiter
at PurpleTech",8-12 Years,4.2
94,SAP FICO + Tax Consultant,Donyati,Work From Home,Founded in 2015,50 - 200 employees,Function: Software Engineering → Other Software Development,"SAP FICO
IDOC
SAP HANA
SAP Fiori","Venkatesh Palani
Recruiter
at SproutsAI",8-13 Years,4.2
95,Education Counsellor - B2C Sales,IDP Education,Mumbai,Founded in 1969,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Education Counselling
Sales","Priyanka Patra
Trainee Talent Acquisition
at Zyoin",3-8 Years,3.9
96,Backend Engineer,Loop Kitchen,Work From Home,Founded in 2022,0 - 10 employees,Function: Software Engineering → Backend Development,"Python
Data Structures
Algorithms","Ravi Dubey
Recruitment Manager
at HyrEzy Talent Solutions",1-2 Years,
97,Python Developer,Swimlane,Hyderabad,Founded in 2014,200 - 500 employees,Function: Software Engineering → Backend Development,"Python
Django
Flask
Data Structures
AWS","Safafirdos Shaikh
Associate Talent Acquisition
at Zyoin",4-8 Years,
98,Accounts Executive,Volvo Martial Motors,Bangalore,Founded in 2012,200 - 500 employees,Function: Operations → Accounting / Finance,"GST
TDS
Tally
Banking Operations
Microsoft Excel","Fathima Zoya
Director
at Team Focus Corporate Solution",3-8 Years,
99,Sales Consultant,Volvo Martial Motors,Bangalore,Founded in 2012,200 - 500 employees,"Function: Marketing → Brand Management, Customer Service, Sales / Business Development","Business Development
Marketing
Customer Interaction
Sales Operations
Microsoft Excel","Fathima Zoya
Director
at Team Focus Corporate Solution",3-6 Years,
100,Staff Engineer - Java Full Stack,7-Eleven,Bangalore,Founded in 1927,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"Java
React.js
AWS
Spring Boot
Microservices","Aditi Tyagi
Senior Consultant
at Wenger & Watson",12-17 Years,3.3
101,Sales Executive / Senior Sales Executive,ADOS Interiors,Bangalore,Founded in 2014,10 - 50 employees,Function: Sales and Business → Sales / Business Development,"Sales
Direct Sales
Customer Relationship
Customer Service
Corporate Sales","Suranjan Barman
Recruiter
at Suyojett",1-4 Years,
102,Staff Software Engineer,Allen Career Institute,Bangalore,Founded in 1988,More than 1000 employees,"Function: Software Engineering → Frontend Development, Full-Stack Development","JavaScript
React.js
Node.js
Angular","Riya Prasad
Recruiter
at Wenger & Watson",8-13 Years,4
103,SEO Specialist,Asentech,Work From Home,Founded in 2007,50 - 200 employees,"Function: Marketing → Online Marketing, PR / Communications, SEO / SEM","SEO
SEM
SEMrush
Jira
Social Media Marketing","Jai Singh
Recruiter
at PurpleTech",4-5 Years,4.2
